effect,group,term,estimate,std.error,statistic,Species,t_value,Model_type,Marginal_R2,Conditional_R2,p.value
fixed,NA,mean_giantkelp_density_m2,-3.473603526102992,2.52770849366673,-1.3742104893844518,Muricea californica,-1.3742104893844518,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_sst_C,8.340168572324558,3.83573117446761,2.174336050409516,Muricea californica,2.174336050409516,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_chl_mg_m3,-3.268136855873621,4.63728605331988,-0.7047520507245675,Muricea californica,-0.7047520507245675,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_CCA_cover,-14.337244438482443,2.7459343764744566,-5.221262591457204,Muricea californica,-5.221262591457204,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_Relief_index,-0.623698723785215,3.3792359153877665,-0.18456797317557086,Muricea californica,-0.18456797317557086,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_Relief_SD,1.1119426959185743,3.390506691442044,0.32795767627452904,Muricea californica,0.32795767627452904,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_Substrate_index,6.620255999141751,3.7410765303698574,1.769612555476711,Muricea californica,1.769612555476711,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_Substrate_SD,10.610315256930226,3.28103477018318,3.233832007314526,Muricea californica,3.233832007314526,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,dist_200m_bath,25.794933995750977,3.999360194272792,6.449765148107971,Muricea californica,6.449765148107971,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,mean_surveydepth,15.370482620952716,2.6745158984049566,5.747014863556973,Muricea californica,5.747014863556973,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,Reef_TypeNatural Reef,-7.601728720639467,11.26063816623816,-0.675070862629358,Muricea californica,-0.675070862629358,LMM,0.37737208933237737,0.7246352821094011,NA
fixed,NA,exposure_index_scaled,-20.64899440938672,17.778101287310424,-1.1614847995114905,Muricea californica,-1.1614847995114905,LMM,0.37737208933237737,0.7246352821094011,NA
ran_pars,Site,sd__(Intercept),32.2855075664843,NA,NA,Muricea californica,NA,LMM,0.37737208933237737,0.7246352821094011,NA
ran_pars,Residual,sd__Observation,28.749638515181136,NA,NA,Muricea californica,NA,LMM,0.37737208933237737,0.7246352821094011,NA
NA,NA,(Intercept),2.467897460464924,1.532327424051676,1.6105549125652776,Muricea fruticosa,1.6105549125652776,LM,0.15465390852414082,NA,0.1085187523448575
NA,NA,mean_giantkelp_density_m2,-0.48347727150034436,0.48911255472773607,-0.9884785553490268,Muricea fruticosa,-0.9884785553490268,LM,0.15465390852414082,NA,0.3238590142800417
NA,NA,mean_sst_C,0.48708460525682545,0.4806696169265752,1.0133459409630838,Muricea fruticosa,1.0133459409630838,LM,0.15465390852414082,NA,0.31185926023647575
NA,NA,mean_chl_mg_m3,0.4618538850360969,0.5289499699308783,0.873152304170564,Muricea fruticosa,0.873152304170564,LM,0.15465390852414082,NA,0.3834047774023648
NA,NA,mean_CCA_cover,-0.47810732645439835,0.42332303752901457,-1.129414853595415,Muricea fruticosa,-1.129414853595415,LM,0.15465390852414082,NA,0.25978835560279107
NA,NA,mean_Relief_index,1.586800140158901,0.5975092787274736,2.655691211253385,Muricea fruticosa,2.655691211253385,LM,0.15465390852414082,NA,0.008415220790462861
NA,NA,mean_Relief_SD,-0.09618230760767701,0.5736032631127318,-0.16768089338566758,Muricea fruticosa,-0.16768089338566758,LM,0.15465390852414082,NA,0.8669677564823208
NA,NA,mean_Substrate_index,-0.16078649502376371,0.5212631258443405,-0.30845553244020896,Muricea fruticosa,-0.30845553244020896,LM,0.15465390852414082,NA,0.7579885560127886
NA,NA,mean_Substrate_SD,0.21545226298779827,0.4999226600577151,0.4309711885492943,Muricea fruticosa,0.4309711885492943,LM,0.15465390852414082,NA,0.6668548306048736
NA,NA,dist_200m_bath,1.3538016094407628,0.4266028487223137,3.1734471851171007,Muricea fruticosa,3.1734471851171007,LM,0.15465390852414082,NA,0.0016919721188098464
NA,NA,mean_surveydepth,0.8324768131121411,0.4619398804899937,1.8021323732194492,Muricea fruticosa,1.8021323732194492,LM,0.15465390852414082,NA,0.07271012321790736
NA,NA,Reef_TypeNatural Reef,1.7533180232072412,1.5375046316089058,1.140366010717314,Muricea fruticosa,1.140366010717314,LM,0.15465390852414082,NA,0.2552079793954851
NA,NA,exposure_index_scaled,-3.9052475385993395,1.9774081657450782,-1.974932442502512,Muricea fruticosa,-1.974932442502512,LM,0.15465390852414082,NA,0.04935868385518346
